zid,xvoucher,xdate,xyear,xper,xcode,xastname,xastcatg,xastbook,xasttype,xastunit,xastbr,xastloc,xdiv,xsec,xproj,xdepmeth,xpurdate,xcur,xexch,xprime,xbase,xsup,xinvno,xnomlife,xestlife,xslvval,xretdate,xdepfactor,xprvunit,xprvbr,xprvloc,xprvdiv,xprvsec,xprvproj,xleasestat,xmortgstat,xassetstat,xpornum,xdateto,xcus,xmodel,xcondition,xmaxload,xunitalt,xmfgyear,xorigin,xmanufacturer,xarea,xthana,xmouza,xareagovt,xareaphys,xaruntgovt,xaruntphys,xdistrict,xdept,xsubdept,xglref,xlong,xdateord,xname,xalias,xrate,xratesys,xmarginsys,xinstalno,xappamt,xacccat,xtrnfa,xempnum,xdatework,xdocnum,xdocrow,xaction,xtag
,,31/8/2013,,,,Lease of state land Lot 1604C PT MK 12,CAT29,,TYP01,,,Facility,InVivos,,,SL - Straight Line,1/6/2010,SGD,1,1513670.53,1513670.53,,,240,201,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,,,,,,,,,,,1-11101,,,,,,,
,,31/8/2013,,,,1 unit of Draeger X-am 5100 - Safety monitor for H2O2 in breeding rooms after container docking port use,CAT36,,TYP01,,,Facility,InVivos,,,SL - Straight Line,4/6/2013,SGD,1,2042.21,2042.21,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2119-0012,,,,,,,,,,1-12119,,,,,,,
,,31/8/2013,,,,1 unit of Draeger X-am 5100 - Safety monitor for H2O2 in breeding rooms after container docking port use,CAT36,,TYP01,,,Facility,InVivos,,,SL - Straight Line,4/6/2013,SGD,1,2042.21,2042.21,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2119-0013,,,,,,,,,,1-12119,,,,,,,
,,31/8/2013,,,,1 unit of Draeger X-am 5100 - Safety monitor for H2O2 in breeding rooms after container docking port use,CAT36,,TYP01,,,Facility,InVivos,,,SL - Straight Line,4/6/2013,SGD,1,2042.21,2042.21,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2119-0014,,,,,,,,,,1-12119,,,,,,,
,,31/8/2013,,,,1 unit of electronic balance ,CAT36,,TYP01,,,Facility,InVivos,,,SL - Straight Line,13/7/2013,SGD,1,521.11,521.11,,,72,70,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2119-0015,,,,,,,,,,1-12119,,,,,,,
,,31/8/2013,,,,1 unit of electronic balance ,CAT36,,TYP01,,,Facility,InVivos,,,SL - Straight Line,13/7/2013,SGD,1,521.11,521.11,,,72,70,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2119-0016,,,,,,,,,,1-12119,,,,,,,
,,31/8/2013,,,,149nos - Staubli male/female quick connector hose - 22 spirals (for supply),CAT08,,TYP01,,,Facility,InVivos,,,SL - Straight Line,1/8/2012,SGD,1,55972.22,55972.22,,,72,62,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,,,,,,,,,,,1-12103,,,,,,,
,,31/8/2013,,,,2 shelved SS304 utility cart complete with autoclavable non floor marking wheels and SS304 s/steel trolley with double handle c/w SS304 handle and autoclavable non floor marking lockable wheels,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,23/8/2013,SGD,1,20737.92,20737.92,,,72,71,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0059,,,,,,,,,,1-12134,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0060,,,,,,,,,,1-12135,,,,,,,
